ID,DateTime,Tag,Value
337,11/17/2018 1:21:52,18:FE:34:A4:33:5E,29
338,11/17/2018 2:18:43,18:FE:34:A4:33:5E,29
339,11/17/2018 3:16:31,18:FE:34:A4:33:5E,28
340,11/17/2018 4:14:05,18:FE:34:A4:33:5E,30
341,11/17/2018 5:09:46,18:FE:34:A4:33:5E,28
342,11/17/2018 6:07:37,18:FE:34:A4:33:5E,28
343,11/17/2018 7:04:51,18:FE:34:A4:33:5E,28
344,11/17/2018 8:03:07,18:FE:34:A4:33:5E,127
345,11/17/2018 9:01:00,18:FE:34:A4:33:5E,37
346,11/17/2018 9:59:11,18:FE:34:A4:33:5E,38
347,11/17/2018 10:56:33,18:FE:34:A4:33:5E,38
348,11/17/2018 11:53:45,18:FE:34:A4:33:5E,38
349,11/17/2018 12:50:53,18:FE:34:A4:33:5E,39
350,11/17/2018 13:47:47,18:FE:34:A4:33:5E,38
351,11/17/2018 14:44:39,18:FE:34:A4:33:5E,38
352,11/17/2018 15:41:35,18:FE:34:A4:33:5E,37
353,11/17/2018 16:38:34,18:FE:34:A4:33:5E,37
354,11/17/2018 17:35:16,18:FE:34:A4:33:5E,36
355,11/17/2018 18:31:53,18:FE:34:A4:33:5E,35
356,11/17/2018 19:28:41,18:FE:34:A4:33:5E,34
357,11/17/2018 20:25:28,18:FE:34:A4:33:5E,34
358,11/17/2018 21:22:12,18:FE:34:A4:33:5E,32
359,11/17/2018 22:18:57,18:FE:34:A4:33:5E,31
360,11/17/2018 23:15:54,18:FE:34:A4:33:5E,31
361,11/18/2018 0:12:52,18:FE:34:A4:33:5E,31
362,11/18/2018 1:09:37,18:FE:34:A4:33:5E,30
363,11/18/2018 2:06:29,18:FE:34:A4:33:5E,29
364,11/18/2018 3:03:28,18:FE:34:A4:33:5E,29
365,11/18/2018 4:00:19,18:FE:34:A4:33:5E,29
366,11/18/2018 4:57:10,18:FE:34:A4:33:5E,28
367,11/18/2018 5:54:14,18:FE:34:A4:33:5E,29
368,11/18/2018 6:51:11,18:FE:34:A4:33:5E,29
369,11/18/2018 7:48:36,18:FE:34:A4:33:5E,31
370,11/18/2018 8:46:15,18:FE:34:A4:33:5E,34
371,11/18/2018 9:45:04,18:FE:34:A4:33:5E,37
372,11/18/2018 10:42:20,18:FE:34:A4:33:5E,37
373,11/18/2018 11:39:30,18:FE:34:A4:33:5E,38
374,11/18/2018 12:36:32,18:FE:34:A4:33:5E,38
375,11/18/2018 13:33:33,18:FE:34:A4:33:5E,37
376,11/18/2018 14:30:28,18:FE:34:A4:33:5E,37
377,11/18/2018 15:27:31,18:FE:34:A4:33:5E,37
378,11/18/2018 16:24:21,18:FE:34:A4:33:5E,36
379,11/18/2018 17:21:01,18:FE:34:A4:33:5E,35
380,11/18/2018 18:17:37,18:FE:34:A4:33:5E,34
381,11/18/2018 19:14:42,18:FE:34:A4:33:5E,33
382,11/18/2018 20:11:23,18:FE:34:A4:33:5E,33
383,11/18/2018 21:08:14,18:FE:34:A4:33:5E,32
384,11/18/2018 22:05:07,18:FE:34:A4:33:5E,32
385,11/18/2018 23:02:04,18:FE:34:A4:33:5E,31
386,11/18/2018 23:58:52,18:FE:34:A4:33:5E,30
387,11/19/2018 0:55:49,18:FE:34:A4:33:5E,30
388,11/19/2018 1:52:35,18:FE:34:A4:33:5E,29
389,11/19/2018 2:49:29,18:FE:34:A4:33:5E,29
390,11/19/2018 3:46:23,18:FE:34:A4:33:5E,29
391,11/19/2018 4:43:19,18:FE:34:A4:33:5E,29
392,11/19/2018 5:40:11,18:FE:34:A4:33:5E,29
393,11/19/2018 6:37:16,18:FE:34:A4:33:5E,29
394,11/19/2018 7:34:24,18:FE:34:A4:33:5E,31
395,11/19/2018 8:32:07,18:FE:34:A4:33:5E,33
396,11/19/2018 9:31:06,18:FE:34:A4:33:5E,37
397,11/19/2018 10:28:46,18:FE:34:A4:33:5E,38
398,11/19/2018 11:25:52,18:FE:34:A4:33:5E,39
399,11/19/2018 12:23:03,18:FE:34:A4:33:5E,39
400,11/19/2018 13:19:40,18:FE:34:A4:33:5E,37
401,11/19/2018 14:16:43,18:FE:34:A4:33:5E,37
402,11/19/2018 15:13:32,18:FE:34:A4:33:5E,37
403,11/19/2018 16:10:20,18:FE:34:A4:33:5E,36
404,11/19/2018 17:07:10,18:FE:34:A4:33:5E,35
405,11/19/2018 18:03:46,18:FE:34:A4:33:5E,34
406,11/19/2018 19:00:27,18:FE:34:A4:33:5E,34
407,11/19/2018 19:57:09,18:FE:34:A4:33:5E,33
408,11/19/2018 20:53:49,18:FE:34:A4:33:5E,31
409,11/19/2018 21:50:32,18:FE:34:A4:33:5E,31
410,11/19/2018 22:47:12,18:FE:34:A4:33:5E,29
411,11/19/2018 23:44:04,18:FE:34:A4:33:5E,29
412,11/20/2018 0:40:56,18:FE:34:A4:33:5E,29
413,11/20/2018 1:37:46,18:FE:34:A4:33:5E,28
414,11/20/2018 2:34:44,18:FE:34:A4:33:5E,28
415,11/20/2018 3:31:37,18:FE:34:A4:33:5E,28
416,11/20/2018 4:28:29,18:FE:34:A4:33:5E,28
417,11/20/2018 5:25:25,18:FE:34:A4:33:5E,28
418,11/20/2018 6:22:27,18:FE:34:A4:33:5E,28
419,11/20/2018 7:19:33,18:FE:34:A4:33:5E,28
420,11/20/2018 8:17:46,18:FE:34:A4:33:5E,31
421,11/20/2018 9:16:18,18:FE:34:A4:33:5E,37
422,11/20/2018 10:13:58,18:FE:34:A4:33:5E,38
423,11/20/2018 11:11:13,18:FE:34:A4:33:5E,38
